District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Purbi Singhbhum ,Jharkhand,89.72,77.36,40.67,94.03,2.35,96.38,18.55,8.58,4.47,83.99,0.7973820642475778,454
West Garo Hills ,Meghalaya,83.68,88.99,48.03,89.63,3.23,87.52,7.18,17.55,2.1,70.9,0.7973336763511288,455
Barpeta ,Assam,98.14,74.79,43.59,87.6,0.57,87.57,16.59,14.32,0.66,70.54,0.7964913215693107,456
North & Middle Andaman ,Andaman & Nicobar Islands,92.2,84.01,79.19,97.7,0.7,98.33,35.89,46.77,5.08,92.53,0.7954971583256157,457
Hardwar ,Uttarakhand,99.59,76.39,48.46,79.84,4.77,83.15,29.83,5.7,0.42,74.15,0.7954042833426174,458
Dhule ,Maharastra,89.92,68.75,63.17,77.2,8.08,84.2,23.91,15.6,0.46,77.18,0.7952749256209863,459
Mandla ,Madhya Pradesh,79.7,69.07,54.42,87.61,2.03,76.66,10.7,29.5,3.62,84.2,0.7928855432335296,460
Munger ,Bihar,97.74,69.5,36.79,93.24,2.78,92.29,20.91,2.53,0.11,80.68,0.7928465127924295,461
Sant Kabir Nagar ,Uttar Pradesh,99.92,62.7,43.22,90.59,3.62,89.73,15.88,9.93,0.32,72.48,0.7920545679279227,462
Ramban ,Jammu & Kashmir,73.42,62.21,79.23,80.44,11.75,91.72,15.82,2.8,0.49,71.26,0.7913912802547445,463
Damoh ,Madhya Pradesh,80.98,68.29,46.43,84.98,4.11,85.19,17.39,16.09,0.1,75.81,0.7908552671412646,464
Baghpat ,Uttar Pradesh,99.85,78.13,42.36,80.86,3.6,82.34,34.51,4.71,0.27,79.14,0.7900221402617472,465
Thoubal ,Manipur,72.54,85.4,89.88,87.8,3.28,91.07,31.25,47.94,1.03,75.63,0.789720580975336,466
Sultanpur ,Uttar Pradesh,99.51,74.94,47.0,86.96,4.41,83.7,22.88,14.17,0.14,70.48,0.7892589849856793,467
Surajpur ,Chhattisgarh,83.35,68.25,48.85,85.87,1.87,79.94,14.68,17.73,7.44,82.97,0.7890627392795373,468
Almora ,Uttarakhand,93.31,88.02,44.33,80.1,6.15,85.44,19.45,5.46,0.11,78.05,0.7888032667142465,469
Sidhi ,Madhya Pradesh,83.65,71.7,39.35,83.79,2.71,75.89,14.59,7.41,0.69,79.68,0.7879296894863967,470
Fazilka ,Punjab,97.26,72.77,36.47,91.67,3.8,93.66,31.61,0.44,0.25,84.27,0.7878734433167942,471
Goalpara ,Assam,90.73,74.06,44.06,92.34,2.7,94.16,15.32,15.6,5.02,73.5,0.7870982405971882,472
Rohtas ,Bihar,99.58,76.51,34.22,89.08,3.74,91.25,19.84,1.03,0.39,84.97,0.7867342259098009,473
Jhansi ,Uttar Pradesh,96.83,72.45,36.6,92.89,3.77,93.35,12.59,10.07,0.31,80.39,0.7864779243446794,474
Hojai ,Assam,99.93,83.24,51.34,82.05,4.07,83.45,20.1,18.78,2.16,63.9,0.784897558065531,475
Azamgarh ,Uttar Pradesh,100.0,78.9,38.48,93.23,3.66,89.76,21.51,9.37,0.3,72.93,0.7844375635839815,476
Mirzapur ,Uttar Pradesh,96.94,73.39,36.51,91.09,1.62,88.55,22.34,5.4,0.09,69.76,0.784178741985871,477
Jyotiba Phule Nagar ,Uttar Pradesh,99.68,64.39,43.87,81.06,6.17,86.66,19.69,4.35,0.37,77.68,0.7841594494235226,478
Sheopur ,Madhya Pradesh,91.08,54.76,41.01,84.16,2.46,82.14,11.23,13.9,0.34,76.2,0.7841221356553475,479
Purba Medinipur ,West Bengal,87.79,77.0,56.81,91.48,4.56,94.61,27.38,12.93,1.97,48.46,0.7829918079304319,480
Bareilly ,Uttar Pradesh,100.0,54.71,43.05,75.05,3.5,77.79,25.03,5.45,0.14,75.24,0.7822696961460004,481
Meerut ,Uttar Pradesh,99.72,80.17,49.87,80.61,8.28,88.81,38.46,2.62,0.18,81.24,0.7822536185293074,482
Kushinagar ,Uttar Pradesh,100.0,64.41,35.79,89.43,4.26,93.12,20.19,4.31,0.22,79.31,0.7811971021533214,483
Kathua ,Jammu & Kashmir,96.13,87.65,31.61,97.08,1.92,98.52,38.15,2.07,0.45,81.15,0.780390213185389,484
Basti ,Uttar Pradesh,100.0,65.27,31.46,93.18,1.73,92.01,16.77,10.23,0.22,83.78,0.7801203599490916,485
Kheri ,Uttar Pradesh,99.92,61.99,47.98,82.77,3.65,81.24,16.37,14.78,0.22,60.46,0.7796125630221122,486
Firozabad ,Uttar Pradesh,99.42,74.35,39.25,80.07,4.19,83.34,24.34,5.23,0.3,73.71,0.7795221464003516,487
Shamli ,Uttar Pradesh,99.85,65.82,40.98,78.29,5.91,83.3,22.61,3.66,0.31,81.27,0.7795137827160362,488
Bharatpur ,Rajasthan,93.93,63.05,33.23,92.12,1.3,90.83,12.35,10.49,0.2,75.86,0.7793084143739151,489
Puruliya ,West Bengal,87.57,60.95,57.77,89.76,2.59,91.41,9.59,26.7,1.13,51.46,0.7791100829869592,490
Dhanbad ,Jharkhand,88.9,71.97,44.55,78.75,5.93,83.63,16.38,9.56,1.08,73.23,0.7790648839616465,491
Mainpuri ,Uttar Pradesh,99.59,78.35,38.13,82.65,2.2,84.65,21.74,2.93,0.5,63.3,0.7782153560074363,492
