District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Navsari ,Gujarat,97.4,84.05,94.69,99.26,0.74,99.05,18.73,9.0,1.36,98.23,0.9418853044613609,1
Kasaragod ,Kerala,93.16,95.91,91.18,100.0,0.0,100.0,28.41,3.53,0.12,95.03,0.9390623368454272,2
Kozhikode ,Kerala,93.34,99.05,91.75,100.0,0.0,100.0,30.68,0.78,0.0,90.99,0.9349339768172839,3
Valsad ,Gujarat,98.0,82.93,92.48,96.52,1.99,98.5,21.26,5.25,1.46,95.02,0.9348642305904094,4
Rajkot ,Gujarat,99.5,84.68,93.52,99.28,0.72,100.0,27.97,7.2,0.12,98.05,0.9343758622521154,5
Surat ,Gujarat,98.87,84.18,93.4,97.69,1.13,98.82,25.09,7.67,1.59,96.72,0.933141109263323,6
Mumbai ,Maharastra,100.0,94.26,87.05,99.53,0.0,98.27,25.02,5.25,1.1,90.62,0.9318780629523753,7
Wayanad ,Kerala,94.09,93.72,94.19,100.0,0.0,100.0,26.65,10.6,1.17,95.94,0.931424273720712,8
Mahe ,Puducherry,97.97,99.69,85.0,100.0,0.0,100.0,28.8,1.03,0.55,96.76,0.9309416574466708,9
Kulgam ,Jammu & Kashmir,96.43,70.88,92.19,98.87,0.76,99.63,25.92,3.25,0.06,91.48,0.9289369270942978,10
Diu ,Dadra and Nagar Haveli & Daman and Diu,99.69,90.77,90.71,95.65,1.54,97.19,30.6,1.69,0.4,92.98,0.9286523742056302,11
Tiruchirappalli ,Tamil Nadu,98.08,84.79,90.51,98.6,0.44,99.04,33.5,3.51,0.43,97.57,0.9271088204185133,12
North Twenty Four Pargana ,West Bengal,99.5,85.53,89.91,97.46,0.47,98.34,26.43,7.03,0.4,87.79,0.9266961176333814,13
Osmanabad ,Maharastra,96.41,83.7,89.15,98.08,1.58,99.03,25.14,7.97,0.26,94.44,0.9266129393204645,14
Dadra & Nagar Haveli ,Dadra and Nagar Haveli & Daman and Diu,94.76,72.82,90.9,96.32,1.77,98.09,22.97,3.29,1.38,92.16,0.9264392522614007,15
Malappuram ,Kerala,97.7,99.15,90.42,100.0,0.0,100.0,36.6,1.49,0.19,96.85,0.9262499585449121,16
Karur ,Tamil Nadu,99.36,80.47,95.7,100.0,0.0,99.22,34.71,5.86,0.35,96.41,0.9252960673612101,17
Sivaganga ,Tamil Nadu,96.47,88.03,90.89,100.0,0.0,100.0,33.39,2.37,0.43,89.08,0.9252029782202769,18
Pudukkottai ,Tamil Nadu,95.71,83.71,91.64,100.0,0.0,100.0,31.95,7.59,0.75,95.44,0.9249426697004282,19
Ramanathapuram ,Tamil Nadu,93.89,86.06,88.22,99.63,0.0,99.3,34.06,1.11,0.55,94.91,0.9242656337235904,20
Dharmapuri ,Tamil Nadu,98.72,80.58,94.49,99.59,0.0,99.59,33.38,7.87,0.69,97.95,0.924114488796995,21
Perambalur ,Tamil Nadu,100.0,82.98,92.19,100.0,0.0,100.0,32.88,5.49,0.22,90.08,0.9239504559643283,22
Srinagar ,Jammu & Kashmir,98.45,78.42,85.12,99.21,0.0,99.21,27.75,1.92,0.0,90.88,0.9233119425950178,23
Jammu ,Jammu & Kashmir,99.92,91.54,95.43,96.48,0.48,96.96,38.25,0.82,0.32,92.2,0.9230745644948775,24
Shimla ,Himachal Pradesh,97.29,93.36,85.31,92.23,0.67,91.33,28.4,1.53,0.45,91.6,0.9229429754588924,25
Tiruvannamalai ,Tamil Nadu,98.53,81.66,97.65,99.05,0.0,99.05,37.75,4.82,0.16,98.05,0.9229281177520207,26
Kupwara ,Jammu & Kashmir,88.0,76.01,89.24,97.06,1.98,99.04,21.27,6.8,0.0,90.49,0.9229151331712104,27
Palghar ,Maharastra,91.09,77.61,86.32,94.18,1.92,95.66,17.0,8.28,1.42,96.97,0.9220836355965181,28
Samba ,Jammu & Kashmir,95.43,84.83,96.2,97.85,1.18,99.03,36.45,3.04,0.74,92.33,0.9219511881566562,29
Nagapattinam ,Tamil Nadu,100.0,89.25,93.13,99.65,0.35,100.0,31.86,10.36,0.26,91.91,0.9215997491982024,30
Krishnagiri ,Tamil Nadu,99.77,79.86,93.12,99.6,0.4,100.0,34.5,8.22,0.22,95.5,0.9198705456079003,31
Ariyalur ,Tamil Nadu,93.19,77.44,91.43,100.0,0.0,100.0,33.3,8.7,0.07,95.65,0.9184641277964674,32
Kolhapur ,Maharastra,97.29,90.74,81.75,99.18,0.0,93.6,23.68,9.58,0.0,95.15,0.9182686724817911,33
Sirmaur ,Himachal Pradesh,95.69,84.93,85.23,87.41,0.48,88.19,23.16,4.1,0.33,88.7,0.9181086644103729,34
Kota ,Rajasthan,99.57,77.94,81.34,97.87,0.53,98.97,13.04,9.15,0.3,88.78,0.9179206035901339,35
Shupiyan ,Jammu & Kashmir,99.16,80.81,86.78,98.33,0.4,97.53,27.6,5.04,0.42,84.5,0.9178731084323772,36
Pulwama ,Jammu & Kashmir,97.95,76.59,96.16,97.79,1.3,98.09,37.91,3.33,0.0,95.03,0.917235828242408,37
Kolar ,Karnataka,98.51,78.28,90.91,99.6,0.0,99.27,27.92,12.98,0.34,95.71,0.9170889779929042,38
Dakshina Kannada ,Karnataka,88.62,92.72,82.0,100.0,0.0,91.89,22.16,4.37,0.61,83.5,0.9159756300658438,39
Chennai ,Tamil Nadu,98.72,96.1,89.86,100.0,0.0,100.0,41.85,0.73,0.1,95.02,0.9157253053170242,40
Kachchh ,Gujarat,96.83,75.57,84.15,97.36,0.51,97.61,25.65,8.9,0.33,93.87,0.915564139552274,41
Dindigul ,Tamil Nadu,99.47,81.01,96.21,96.99,1.41,98.59,38.48,6.53,0.09,95.32,0.9149953506085033,42
Chamarajanagar ,Karnataka,99.89,72.36,84.11,100.0,0.0,96.7,30.55,2.78,0.9,94.16,0.9149414039859588,43
Karaikal ,Puducherry,99.88,89.63,88.34,99.55,0.0,99.55,39.3,5.12,0.0,94.99,0.9148522740403556,44
Karnal ,Haryana,99.89,84.46,84.71,98.96,0.5,98.64,36.49,2.63,0.3,97.46,0.9147249786880001,45
Patan ,Gujarat,99.39,71.08,79.81,98.55,0.0,97.07,18.29,6.93,0.21,93.62,0.9147026175956354,46
The Nilgiris ,Tamil Nadu,96.43,90.62,92.46,100.0,0.0,100.0,39.49,6.75,1.07,91.48,0.914169454227372,47
Dharwad ,Karnataka,87.94,81.76,85.21,99.69,0.31,98.97,33.79,6.83,0.46,97.95,0.9140365566882737,48
Tapi ,Gujarat,99.02,72.02,90.96,92.93,1.21,85.16,12.63,10.8,2.31,90.04,0.9138391444791819,49
Erode ,Tamil Nadu,98.9,83.05,93.93,100.0,0.0,100.0,37.05,11.12,0.12,96.46,0.9134596207622361,50
Madurai ,Tamil Nadu,98.71,87.3,89.47,100.0,0.0,100.0,40.82,0.77,0.43,91.36,0.9134261812396304,51
Ramanagara ,Karnataka,98.34,82.67,88.74,100.0,0.0,100.0,36.52,3.61,0.48,86.95,0.9132955846615884,52
Namakkal ,Tamil Nadu,99.45,88.93,97.83,100.0,0.0,100.0,43.23,6.58,0.06,94.78,0.9130234739166482,53
Mandya ,Karnataka,98.43,78.3,90.07,99.45,0.55,97.27,38.67,5.28,0.66,95.52,0.9126471984685905,54
Bilaspur ,Himachal Pradesh,92.85,91.23,81.35,91.7,0.47,87.62,29.14,1.75,0.3,92.92,0.9125616416035551,55
Theni ,Tamil Nadu,99.88,86.94,98.65,100.0,0.0,100.0,45.23,4.29,0.27,97.06,0.9119591771745639,56
South East ,NCT of Delhi,100.0,86.78,83.24,96.14,1.65,97.8,32.95,1.57,0.84,92.25,0.9118632794591236,57
North Goa ,Goa,98.1,92.37,91.29,99.57,0.0,98.6,37.22,2.65,4.35,93.1,0.9113095275778321,58
Porbandar ,Gujarat,96.24,84.33,92.05,100.0,0.0,95.99,27.83,16.66,0.27,97.6,0.9111272542517217,59
Panch Mahals ,Gujarat,90.95,71.67,88.73,88.41,1.65,84.2,16.07,7.76,0.37,87.97,0.9107872507457617,60
Viluppuram ,Tamil Nadu,98.37,77.83,94.88,99.11,0.46,100.0,37.02,8.8,0.15,88.11,0.9106547353794671,61
Kannur ,Kerala,93.88,99.08,78.27,100.0,0.0,100.0,32.36,1.7,0.06,93.35,0.9103727654557949,62
Solan ,Himachal Pradesh,96.47,90.98,88.17,90.22,2.05,86.84,29.73,2.86,0.52,85.93,0.9099604538927708,63
Vellore ,Tamil Nadu,97.68,84.72,95.4,99.53,0.47,100.0,45.38,4.33,0.32,98.64,0.9098702700652226,64
Tirunelveli ,Tamil Nadu,98.08,87.34,84.97,100.0,0.0,100.0,40.19,0.72,0.0,92.87,0.9098598526188877,65
Thiruvarur ,Tamil Nadu,100.0,91.21,92.33,100.0,0.0,100.0,37.15,11.53,0.35,89.5,0.9098122313638862,66
Tiruppur ,Tamil Nadu,99.79,87.49,93.54,100.0,0.0,100.0,44.96,5.74,0.14,98.39,0.9097188102422515,67
Thanjavur ,Tamil Nadu,99.67,86.37,93.66,100.0,0.0,100.0,42.76,7.58,0.45,93.78,0.9095368984426687,68
Bangalore Rural ,Karnataka,97.91,83.81,90.92,100.0,0.0,97.92,33.18,13.12,1.45,91.68,0.9088228674149738,69
Ernakulam ,Kerala,98.16,99.32,82.18,99.12,0.48,100.0,39.64,1.37,0.48,96.05,0.9082586264860365,70
South West ,NCT of Delhi,99.72,88.26,90.97,92.51,0.47,92.98,42.92,1.78,0.62,92.42,0.9081659965672217,71
Mysore ,Karnataka,95.41,78.92,85.74,100.0,0.0,97.82,36.39,6.7,1.56,93.54,0.9079755784173823,72
Balod ,Chhattisgarh,99.49,84.66,81.46,97.35,2.65,99.15,12.16,11.42,1.47,90.84,0.9075488352142655,73
Nagpur ,Maharastra,99.48,94.59,71.44,100.0,0.0,96.63,13.37,5.02,0.38,91.4,0.905869507815303,74
South Goa ,Goa,99.02,93.76,96.04,100.0,0.0,100.0,34.63,2.51,6.97,99.49,0.905152874718316,75
Shahdara ,NCT of Delhi,99.81,85.45,88.91,95.8,1.39,97.19,42.83,1.79,0.72,91.5,0.9048410688803219,76
Salem ,Tamil Nadu,97.64,83.16,85.04,100.0,0.0,100.0,40.27,6.46,0.24,92.88,0.9047445377797516,77
Pathanamthitta ,Kerala,94.07,99.66,83.91,99.07,0.0,99.15,43.84,1.51,0.16,95.24,0.9044373327960221,78
Tumkur ,Karnataka,96.17,81.87,80.35,100.0,0.0,93.07,30.43,9.79,0.81,95.21,0.9043849973905346,79
Sangli ,Maharastra,96.75,90.33,80.09,98.01,1.65,97.63,27.75,11.42,0.21,95.55,0.9042219580277447,80
Mahisagar ,Gujarat,94.79,70.89,76.63,92.98,1.94,92.69,9.43,5.02,0.27,90.9,0.9039417151898252,81
Subarnapur ,Odisha,94.22,79.24,87.78,96.08,0.41,94.95,21.72,17.86,0.75,93.14,0.9039202790374901,82
Amreli ,Gujarat,97.79,77.17,92.59,90.13,2.39,81.16,29.06,4.97,0.39,87.02,0.903634267511647,83
Thrissur ,Kerala,93.67,99.41,82.4,100.0,0.0,100.0,42.84,2.3,0.21,95.17,0.9034260936173489,84
Nayagarh ,Odisha,82.92,81.86,90.27,98.29,0.39,98.36,30.29,16.93,0.27,96.23,0.9031159617089651,85
Solapur ,Maharastra,90.35,76.44,81.92,96.23,0.89,96.25,28.15,10.18,0.31,89.64,0.9028928954458592,86
Y.S.R. ,Andhra Pradesh,99.85,63.76,82.75,99.43,0.57,100.0,33.86,3.07,0.15,92.29,0.9023928042898021,87
Agar Malwa ,Madhya Pradesh,81.43,59.44,76.53,98.88,0.0,93.59,8.81,2.59,0.52,89.94,0.9017699632455355,88
East ,NCT of Delhi,98.36,84.32,89.66,92.57,2.35,94.92,41.25,1.5,0.39,89.97,0.9014789778620913,89
Cuddalore ,Tamil Nadu,99.49,80.46,82.22,99.17,0.43,99.12,35.13,7.54,0.57,87.67,0.9013241966134331,90
Kargil ,Ladakh,90.18,77.22,88.01,93.72,2.57,95.55,26.33,1.85,1.38,78.28,0.9011771192732992,91
Indore ,Madhya Pradesh,98.87,81.71,74.59,96.5,2.6,97.8,19.03,4.61,0.21,92.57,0.900089925675956,92
Raigarh ,Maharastra,87.79,79.15,83.14,96.55,1.05,97.56,23.11,16.21,0.41,93.0,0.8996440390311786,93
Ahmadabad ,Gujarat,98.73,81.47,77.76,94.45,1.24,95.29,30.12,6.16,0.25,89.97,0.8995337398833528,94
Thoothukkudi ,Tamil Nadu,96.97,90.28,80.66,100.0,0.0,100.0,43.4,1.42,0.31,94.83,0.8991372642854698,95
Lakshadweep , Lakshadweep ,92.88,96.5,88.31,99.61,0.39,100.0,33.52,17.53,0.3,92.58,0.8991025899353388,96
Chikkaballapura ,Karnataka,98.05,76.32,90.52,98.97,1.03,97.48,26.58,18.19,1.2,91.17,0.8987515787208853,97
Puducherry ,Puducherry,100.0,91.7,86.96,99.54,0.46,100.0,48.48,2.07,0.31,92.13,0.8982693469955011,98
Coimbatore ,Tamil Nadu,99.9,90.57,89.99,100.0,0.0,100.0,49.95,5.49,0.49,95.4,0.8982317443192528,99
Latur ,Maharastra,94.6,83.29,72.64,94.71,2.37,93.4,17.57,3.7,0.21,93.32,0.8974587889683733,100
Shimoga ,Karnataka,94.63,79.81,79.43,99.66,0.34,96.53,30.34,11.26,1.42,91.45,0.8973938980785551,101
Panchkula ,Haryana,99.2,87.86,76.91,96.99,0.0,96.99,39.86,0.9,0.3,95.26,0.8966615005436476,102
Chittaurgarh ,Rajasthan,97.61,57.49,75.04,96.75,0.83,97.33,15.32,3.67,0.49,91.22,0.8965220618657952,103
Srikakulam ,Andhra Pradesh,87.73,64.32,78.41,97.94,0.47,96.38,27.18,7.09,0.55,90.81,0.8964113474855794,104
Jharsuguda ,Odisha,88.36,81.01,94.06,98.58,0.44,96.77,26.95,20.62,2.28,96.43,0.896349031988796,105
Sindhudurg ,Maharastra,73.19,92.07,73.35,100.0,0.0,98.63,20.81,11.49,0.13,96.73,0.8960142943800102,106
Kollam ,Kerala,95.7,98.22,79.28,100.0,0.0,100.0,43.52,1.63,0.22,91.44,0.8957776212376556,107
Thiruvallur ,Tamil Nadu,99.95,85.9,85.35,100.0,0.0,100.0,48.55,1.7,0.07,90.33,0.8948670881560669,108
Jamnagar ,Gujarat,99.74,83.14,73.78,96.49,0.48,96.22,29.54,7.65,0.23,92.43,0.8943682237703678,109
Morbi ,Gujarat,98.33,82.42,75.11,94.78,2.36,96.39,24.61,7.26,0.16,89.92,0.8939359197327207,110
Idukki ,Kerala,82.28,94.38,74.25,100.0,0.0,100.0,36.27,3.73,0.39,93.96,0.8938179456122022,111
Balangir ,Odisha,92.88,69.8,95.41,97.88,0.36,98.18,15.93,23.67,0.77,96.45,0.8937394025771529,112
Peddapalli ,Telangana,97.98,73.7,77.88,96.47,0.0,96.22,26.11,4.63,4.16,87.62,0.8936489479965376,113
Wardha ,Maharastra,98.46,92.95,70.37,98.79,0.0,98.98,19.6,9.48,0.59,89.88,0.8932923916113971,114
Virudhunagar ,Tamil Nadu,97.41,85.25,83.4,97.77,2.23,100.0,37.42,1.82,0.45,80.16,0.8929442052085759,115
Ahmadnagar ,Maharastra,89.98,86.19,76.61,97.9,1.03,95.0,22.97,14.69,0.24,90.91,0.8927298618528534,116
Akola ,Maharastra,95.09,87.52,76.28,97.67,0.86,86.42,19.59,10.36,0.19,82.33,0.8926859759232155,117
Ganderbal ,Jammu & Kashmir,97.15,63.99,80.38,97.97,0.89,98.61,34.22,6.27,0.2,88.37,0.8923946524260695,118
Haora ,West Bengal,99.52,80.48,82.71,95.54,1.37,96.91,22.77,5.99,0.66,70.73,0.8917578258794769,119
Rohtak ,Haryana,98.45,88.53,72.28,97.39,0.0,96.72,35.9,2.75,0.27,96.19,0.8916432006738867,120
Bhandara ,Maharastra,92.03,89.09,78.97,100.0,0.0,98.37,9.8,19.65,1.26,87.45,0.8913623619688216,121
Ratnagiri ,Maharastra,90.9,87.2,78.56,97.79,0.71,95.55,17.66,18.43,0.51,89.67,0.8912388416516096,122
Chandigarh,Chandigarh,99.12,82.96,78.74,96.87,0.16,97.03,44.02,0.56,0.27,90.61,0.8908092309105189,123
Bandipore ,Jammu & Kashmir,89.79,66.57,82.62,92.76,1.7,93.73,28.2,9.06,0.14,82.6,0.8902396813267914,124
Chandrapur ,Maharastra,96.46,87.79,68.49,99.62,0.38,96.52,9.44,11.28,0.51,92.25,0.8898941855968681,125
North East ,NCT of Delhi,98.2,85.06,86.19,89.19,1.13,89.8,43.33,3.11,0.22,82.62,0.8896825003479358,126
Dhar ,Madhya Pradesh,89.18,58.56,76.46,95.45,1.11,96.09,10.09,7.38,3.91,91.36,0.8891141422214865,127
South Twenty Four Pargana ,West Bengal,100.0,85.59,87.5,91.04,2.15,93.19,21.22,6.28,0.39,67.02,0.8886649752385262,128
New Delhi ,NCT of Delhi,99.11,83.85,80.06,91.76,1.35,92.81,41.76,2.41,0.0,86.38,0.8884019450860763,129
Hisar ,Haryana,99.33,79.76,69.91,98.23,0.89,98.83,30.15,1.83,0.2,93.26,0.8883464317879121,130
Durg ,Chhattisgarh,98.46,84.59,69.85,96.71,1.69,97.99,23.87,7.19,0.86,94.23,0.888234622431941,131
Khammam ,Telangana,98.41,66.3,76.25,97.92,0.49,93.16,36.08,2.0,1.34,93.19,0.8882207075576799,132
Jalor ,Rajasthan,98.28,62.62,71.22,95.52,1.32,94.77,4.32,6.46,0.52,87.63,0.887312487813574,133
Hassan ,Karnataka,96.8,82.04,75.77,100.0,0.0,97.1,36.07,10.87,0.96,92.61,0.8873029583216566,134
Kodagu ,Karnataka,89.2,88.5,74.36,98.43,0.2,94.07,34.69,8.73,2.27,93.25,0.8869398316972051,135
Nadia ,West Bengal,98.22,76.15,71.15,97.73,0.0,98.57,28.6,6.81,0.42,89.39,0.8868320767670772,136
Khordha ,Odisha,94.63,85.7,91.02,97.78,0.75,97.37,39.29,20.12,0.51,95.4,0.8866016828986011,137
Palakkad ,Kerala,94.68,94.4,68.39,100.0,0.0,100.0,32.89,5.11,0.39,97.5,0.8858423384709636,138
Banswara ,Rajasthan,95.59,54.82,69.88,97.7,0.46,97.48,4.5,5.8,0.75,94.0,0.8857540810004833,139
Jagitial ,Telangana,97.33,62.39,81.85,94.43,0.98,91.89,26.03,11.17,2.59,84.09,0.8855893437030534,140
Jhalawar ,Rajasthan,92.42,56.26,72.32,98.31,0.46,98.52,8.55,9.75,0.42,89.7,0.8855637249529912,141
Kanniyakumari ,Tamil Nadu,98.19,97.99,84.21,100.0,0.0,100.0,53.01,1.04,0.17,86.02,0.8851240827483176,142
Bangalore ,Karnataka,99.22,87.27,74.6,99.34,0.66,94.39,40.06,2.93,1.11,87.95,0.8851099619767117,143
Yanam ,Puducherry,100.0,83.32,79.84,100.0,0.0,98.99,51.59,0.81,0.24,97.11,0.884809076576379,144
Aravali ,Gujarat,98.45,71.93,73.84,92.18,2.49,93.02,18.05,9.64,0.27,87.58,0.8844314417072723,145
Warangal Urban ,Telangana,99.13,76.91,71.31,99.7,0.0,93.04,31.96,1.46,2.86,92.63,0.884415934101064,146
Chikmagalur ,Karnataka,95.7,82.89,74.3,98.39,1.08,98.69,33.16,10.92,1.48,90.92,0.8843635364630489,147
Kinnaur ,Himachal Pradesh,96.94,89.11,75.32,82.72,1.79,84.12,26.36,1.99,0.87,83.42,0.883574590093772,148
North West ,NCT of Delhi,99.66,86.4,77.93,93.97,1.81,95.46,43.16,1.27,0.35,86.11,0.8834274509024846,149
Sirohi ,Rajasthan,93.55,62.22,69.52,95.71,1.1,95.91,7.86,8.68,0.25,91.13,0.883424400555912,150
Baran ,Rajasthan,96.1,59.74,79.31,97.28,0.79,97.83,10.11,19.33,0.82,92.39,0.8831160642074312,151
Daman ,Dadra and Nagar Haveli & Daman and Diu,95.97,85.88,70.53,97.39,0.0,96.94,36.85,2.26,0.61,89.46,0.8827941049081027,152
Mumbai Suburban ,Maharastra,99.79,91.58,72.2,98.08,0.45,98.53,40.41,5.94,0.28,91.52,0.8824529632271049,153
Sabar Kantha ,Gujarat,90.72,74.52,73.24,89.43,2.4,83.03,15.48,6.81,0.54,86.93,0.8818522912879629,154
Gandhinagar ,Gujarat,99.72,81.78,71.02,97.81,1.38,89.26,29.5,7.16,0.05,88.18,0.8817351339001964,155
Chitradurga ,Karnataka,97.82,75.61,79.32,98.32,1.21,95.11,37.39,14.16,1.97,95.21,0.8815082643053326,156
Jalpaiguri ,West Bengal,95.2,73.6,88.39,95.84,0.37,97.67,16.67,18.96,2.76,74.81,0.8814693246979938,157
Botad ,Gujarat,99.23,71.82,82.71,93.45,3.09,74.52,27.34,5.26,0.41,85.43,0.8814629510127361,158
Krishna ,Andhra Pradesh,94.38,76.85,73.3,98.93,0.47,98.03,40.56,1.37,0.35,88.33,0.8814300869530859,159
Dehradun ,Uttarakhand,98.95,87.59,75.26,91.73,0.73,92.71,39.78,2.41,0.18,82.36,0.8811098448838276,160
Kaithal ,Haryana,98.45,73.95,68.77,98.21,1.45,99.66,32.66,1.72,0.0,95.27,0.8807853664609749,161
Baudh ,Odisha,92.45,71.01,79.04,93.36,1.62,95.01,18.47,19.05,0.89,89.6,0.880698410231315,162
Buldana ,Maharastra,89.71,79.88,72.7,93.94,2.81,92.39,15.67,12.04,0.19,86.71,0.8800860945750381,163
Narmada ,Gujarat,96.83,67.29,83.42,81.65,2.87,84.23,11.09,14.55,1.18,87.19,0.880030330647747,164
Thane ,Maharastra,96.73,90.49,70.19,93.62,1.62,93.86,30.72,6.87,0.37,87.23,0.8799478603742531,165
Adilabad ,Telangana,95.65,64.84,74.78,94.11,1.81,93.89,15.73,10.97,2.06,83.42,0.8796847431230633,166
Kancheepuram ,Tamil Nadu,99.42,84.45,76.07,100.0,0.0,100.0,46.44,4.45,0.76,87.26,0.8796491901014056,167
South Andaman ,Andaman & Nicobar Islands,97.94,86.67,85.94,99.46,0.0,96.86,39.01,19.6,1.72,88.13,0.8795632466050117,168
Rudraprayag ,Uttarakhand,93.89,87.17,76.51,86.62,3.79,85.8,25.32,2.01,0.19,83.58,0.8794723600246153,169
Harda ,Madhya Pradesh,92.32,73.94,71.85,88.36,0.68,84.07,16.77,8.61,0.69,83.87,0.8793962539714753,170
Bagalkot ,Karnataka,99.15,69.66,76.21,95.2,2.78,91.35,28.57,10.68,0.58,89.04,0.8790152338450844,171
Chhota Udaipur ,Gujarat,97.4,53.2,81.22,85.72,3.89,88.34,7.57,8.88,1.33,91.14,0.8787260557423678,172
Bundi ,Rajasthan,95.65,57.88,73.99,95.25,0.47,95.08,12.36,13.8,0.49,85.17,0.8786257217868887,173
Amravati ,Maharastra,95.81,87.81,71.7,91.34,1.79,89.72,20.31,9.0,0.9,80.21,0.8785308424877712,174
Fatehgarh Sahib ,Punjab,99.71,87.23,75.97,96.59,2.28,98.47,48.15,0.18,0.14,95.54,0.8782272469166376,175
Prakasam ,Andhra Pradesh,98.57,62.83,73.4,97.4,0.52,97.92,39.48,2.22,0.28,90.1,0.8774973231135763,176
Baramula ,Jammu & Kashmir,93.33,67.89,75.19,96.24,1.81,96.95,31.12,6.52,0.18,80.1,0.8773872511765988,177
Jayashankar Bhupalapally ,Telangana,95.14,58.92,72.72,99.49,0.51,95.08,22.36,5.56,4.26,89.06,0.8773672499556641,178
Gwalior ,Madhya Pradesh,98.6,78.1,68.85,94.75,0.74,94.21,26.12,4.58,0.2,81.34,0.8773381207177351,179
Rajnandgaon ,Chhattisgarh,98.81,82.41,76.07,95.49,2.81,96.77,12.78,19.02,1.71,90.49,0.8773255926410153,180
Uttar Bastar Kanker ,Chhattisgarh,98.68,78.45,77.9,94.07,1.68,92.79,6.84,16.54,5.17,87.35,0.8772955622350035,181
Kurnool ,Andhra Pradesh,97.88,56.97,74.25,88.52,2.03,90.55,29.01,2.11,0.41,87.78,0.8758676233744694,182
Mandi ,Himachal Pradesh,96.46,93.96,70.25,86.58,1.41,86.37,31.57,1.42,0.59,84.16,0.875321732973351,183
Rewari ,Haryana,99.73,87.41,63.78,98.71,0.0,98.34,28.3,4.38,0.29,90.47,0.8750483259848992,184
Puri ,Odisha,98.52,87.67,94.92,97.67,0.0,94.94,40.4,25.5,0.0,93.88,0.8742562154554777,185
Dakshin Dinajpur ,West Bengal,99.73,74.31,76.37,91.4,3.14,94.04,20.15,12.83,2.3,83.17,0.8740902410642593,186
Bhilwara ,Rajasthan,93.08,58.06,64.66,95.01,1.03,96.04,12.35,4.16,0.4,95.66,0.8740363992257041,187
Badgam ,Jammu & Kashmir,95.75,74.12,66.5,96.47,2.01,98.48,25.28,5.39,0.03,88.66,0.8738026013165108,188
Vadodara ,Gujarat,99.49,84.57,65.92,95.92,1.81,95.19,27.63,6.83,0.39,90.68,0.8737999513000252,189
Gadchiroli ,Maharastra,82.99,79.35,86.76,97.33,1.76,98.22,5.62,26.54,3.07,91.52,0.873674789157418,190
Yavatmal ,Maharastra,89.45,80.75,66.92,96.29,1.76,96.79,10.5,12.3,0.65,85.56,0.8733852152211145,191
Ganjam ,Odisha,89.6,71.86,82.72,93.01,1.85,92.38,36.86,17.91,0.18,89.3,0.8733282941303168,192
Junagadh ,Gujarat,97.04,82.79,72.54,97.42,0.78,97.74,33.37,13.77,0.17,84.05,0.8732031448054787,193
Sri Potti Sriramulu Nello ,Andhra Pradesh,95.63,70.46,72.95,97.0,3.0,100.0,39.53,4.38,0.27,95.47,0.8731672367014293,194
Kalahandi ,Odisha,96.53,63.75,82.85,92.75,2.23,92.18,15.03,23.23,0.8,94.0,0.8729922146374669,195
Barmer ,Rajasthan,99.9,67.64,64.93,93.31,1.15,94.32,4.51,3.86,0.43,83.28,0.8729624827743137,196
Hingoli ,Maharastra,92.41,76.54,66.61,94.04,1.64,95.25,16.55,7.8,0.24,82.36,0.8726148234917387,197
Anand ,Gujarat,99.72,75.89,64.24,95.96,1.33,95.17,20.85,7.25,0.25,90.26,0.8725491034256821,198
Central ,NCT of Delhi,99.65,84.69,73.06,92.2,0.0,90.87,44.76,3.43,0.28,84.9,0.8723860123518526,199
Bhavnagar ,Gujarat,95.09,74.24,70.9,94.18,2.52,95.97,29.35,9.66,0.25,87.04,0.8721934905722967,200
Patiala ,Punjab,99.1,78.6,71.95,97.25,0.49,97.32,42.91,0.25,0.42,81.81,0.8715323721034797,201
Gondiya ,Maharastra,91.56,87.52,66.2,99.14,0.86,98.3,9.41,17.23,0.39,90.04,0.8712318888301297,202
Udaipur ,Rajasthan,92.66,64.22,62.32,96.05,1.61,97.4,9.1,4.45,0.33,96.57,0.8712002118539947,203
Cuttack ,Odisha,92.33,83.15,84.2,98.86,0.0,98.86,32.46,25.81,0.51,92.53,0.8710830896512443,204
Kishtwar ,Jammu & Kashmir,86.84,71.28,76.4,91.59,3.74,94.11,24.88,3.45,0.06,75.73,0.8709772088749307,205
Jalandhar ,Punjab,99.94,88.1,72.83,92.34,0.99,93.33,48.27,0.69,0.3,88.22,0.8709203921221453,206
Kolkata ,West Bengal,99.25,87.6,71.74,97.47,1.85,99.32,29.02,5.99,0.99,72.8,0.8704059831411467,207
Pune ,Maharastra,96.93,89.01,68.59,97.97,1.46,98.46,31.02,11.69,0.16,84.17,0.8700841566154545,208
Sirsa ,Haryana,99.25,73.12,61.91,99.34,0.0,99.34,29.26,1.1,0.28,97.41,0.8700786313646258,209
Birbhum ,West Bengal,99.38,70.79,78.38,90.31,2.43,92.2,13.39,8.06,1.67,67.49,0.8699609508426018,210
Shajapur ,Madhya Pradesh,91.75,61.98,64.68,98.14,0.71,95.37,16.02,5.33,0.34,85.63,0.8697534923319238,211
